access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,438108.9795,27396.1296,0.6869,131072.0000,16384.0000,0.0072,7.1765,2.4601,7.1802,768,0
write,293281.4981,18343.4798,1.2446,131072.0000,16384.0000,0.0116,10.7181,1.7135,10.7260,768,1
write,452800.9904,28314.3994,0.7518,131072.0000,16384.0000,0.0068,6.9437,1.5022,6.9473,768,2
write,404675.2884,25304.0969,0.8961,131072.0000,16384.0000,0.0071,7.7698,1.6886,7.7735,768,3
write,411289.1773,25717.9107,0.8613,131072.0000,16384.0000,0.0071,7.6448,1.8620,7.6485,768,4
