access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,125723.0359,125783.2415,0.0585,131072.0000,1024.0000,0.0073,8.3364,1.6393,8.3404,256,0
write,124700.3597,124749.8190,0.0581,131072.0000,1024.0000,0.0065,8.4054,1.7340,8.4088,256,1
write,129342.1776,129395.3122,0.0577,131072.0000,1024.0000,0.0064,8.1037,1.5668,8.1070,256,2
write,134454.5910,134514.5607,0.0509,131072.0000,1024.0000,0.0067,7.7953,1.6727,7.7987,256,3
write,134524.3654,134582.8653,0.0550,131072.0000,1024.0000,0.0064,7.7913,1.5063,7.7947,256,4
