access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,11051.5793,707418.8816,0.0423,131072.0000,16.0000,0.1821,355.7415,15.3104,355.8007,960,0
read,10040.5356,642599.4887,0.0476,131072.0000,16.0000,0.1018,391.6253,22.8077,391.6285,960,0
write,11073.3765,708757.7958,0.0424,131072.0000,16.0000,0.1603,355.0694,14.8552,355.1004,960,1
read,10033.3489,642139.4703,0.0468,131072.0000,16.0000,0.1132,391.9059,22.7446,391.9090,960,1
write,11042.5184,706846.1071,0.0420,131072.0000,16.0000,0.1602,356.0297,15.3187,356.0927,960,2
read,10029.3590,641884.1751,0.0468,131072.0000,16.0000,0.1314,392.0618,20.9410,392.0649,960,2
write,11044.8422,706899.4420,0.0418,131072.0000,16.0000,0.1416,356.0029,15.4852,356.0178,960,3
read,9992.1229,639500.9168,0.0468,131072.0000,16.0000,0.0991,393.5229,21.0925,393.5260,960,3
write,11016.5124,705157.2537,0.0416,131072.0000,16.0000,0.1473,356.8824,15.7940,356.9333,960,4
read,9950.2841,636823.0961,0.0464,131072.0000,16.0000,0.1392,395.1776,21.1633,395.1807,960,4
