access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,265871.7881,33355.9771,0.3792,131072.0000,8192.0000,0.1445,11.7885,6.0091,11.8317,768,0
read,325474.3369,40697.7027,0.3596,131072.0000,8192.0000,0.0981,9.6619,4.6011,9.6651,768,0
write,274498.1845,34417.9865,0.3717,131072.0000,8192.0000,0.1393,11.4247,5.8137,11.4599,768,1
read,313182.7026,39160.4581,0.3596,131072.0000,8192.0000,0.1256,10.0411,5.0760,10.0444,768,1
write,277276.8193,34677.7653,0.3876,131072.0000,8192.0000,0.0934,11.3391,5.7020,11.3451,768,2
read,309464.9255,38695.0731,0.3583,131072.0000,8192.0000,3.8421,10.1619,5.2047,10.1651,768,2
write,280195.4980,35058.5376,0.3756,131072.0000,8192.0000,0.1189,11.2160,5.5319,11.2269,768,3
read,327908.7191,41001.7666,0.3513,131072.0000,8192.0000,0.1043,9.5902,4.5532,9.5933,768,3
write,277528.0279,34785.7038,0.3786,131072.0000,8192.0000,0.1385,11.3040,5.6500,11.3348,768,4
read,302948.9552,37879.6504,0.3525,131072.0000,8192.0000,0.1069,10.3807,5.4235,10.3837,768,4
