access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,275714.0097,138028.0572,0.0320,131072.0000,2048.0000,0.0315,2.8488,0.9151,2.8523,192,0
read,280634.5638,140468.6516,0.0386,131072.0000,2048.0000,0.0354,2.7993,0.3656,2.8023,192,0
write,296670.2930,148947.6547,0.0282,131072.0000,2048.0000,0.0434,2.6400,0.8634,2.6509,192,1
read,329189.3488,164814.1926,0.0271,131072.0000,2048.0000,0.0348,2.3858,0.6901,2.3890,192,1
write,259696.0131,129990.3545,0.0390,131072.0000,2048.0000,0.0432,3.0250,0.6279,3.0283,192,2
read,346726.4089,173600.2282,0.0243,131072.0000,2048.0000,0.0214,2.2651,0.8302,2.2682,192,2
write,300888.7351,152270.6053,0.0302,131072.0000,2048.0000,0.0572,2.5824,0.7393,2.6137,192,3
read,334231.7911,167354.7265,0.0279,131072.0000,2048.0000,0.0364,2.3496,0.6651,2.3530,192,3
write,292718.6449,147116.7467,0.0288,131072.0000,2048.0000,0.0419,2.6728,0.8883,2.6866,192,4
read,334291.8816,167362.7763,0.0271,131072.0000,2048.0000,0.0352,2.3495,0.6730,2.3525,192,4
