access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,10971.1644,702226.9362,0.0044,131072.0000,16.0000,0.0067,35.8372,0.2929,35.8409,96,0
read,11893.7950,761273.7785,0.0040,131072.0000,16.0000,0.0061,33.0575,0.2749,33.0606,96,0
write,11019.5088,705311.4213,0.0043,131072.0000,16.0000,0.0064,35.6804,0.3003,35.6836,96,1
read,11867.7915,759610.4437,0.0040,131072.0000,16.0000,0.0062,33.1299,0.2713,33.1330,96,1
write,11049.7989,707250.0157,0.0043,131072.0000,16.0000,0.0061,35.5826,0.2337,35.5858,96,2
read,11885.1061,760716.5950,0.0040,131072.0000,16.0000,0.0060,33.0817,0.2154,33.0848,96,2
write,11054.2894,707538.9537,0.0043,131072.0000,16.0000,0.0063,35.5681,0.2510,35.5714,96,3
read,11924.6445,763250.0234,0.0040,131072.0000,16.0000,0.0062,32.9719,0.2278,32.9751,96,3
write,11054.4704,707548.6385,0.0043,131072.0000,16.0000,0.0061,35.5676,0.2008,35.5708,96,4
read,12002.5736,768235.8021,0.0040,131072.0000,16.0000,0.0060,32.7579,0.1917,32.7610,96,4
