access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,267984.7293,33571.9210,0.2891,131072.0000,8192.0000,0.1198,8.7845,4.6740,8.8038,576,0
read,360184.8332,45044.2772,0.2471,131072.0000,8192.0000,0.0835,6.5472,3.0892,6.5502,576,0
write,282353.9493,35574.6461,0.2839,131072.0000,8192.0000,0.1720,8.2899,4.3035,8.3558,576,1
read,350189.2340,43794.2357,0.2381,131072.0000,8192.0000,0.1235,6.7340,3.3337,6.7372,576,1
write,281261.3281,35181.7162,0.2855,131072.0000,8192.0000,0.1021,8.3825,4.1592,8.3883,576,2
read,344540.5755,43086.5415,0.2383,131072.0000,8192.0000,0.0906,6.8446,3.4556,6.8477,576,2
write,280398.1998,35292.0605,0.2854,131072.0000,8192.0000,0.1745,8.3563,4.3424,8.4141,576,3
read,360168.9968,45041.4429,0.2356,131072.0000,8192.0000,0.1078,6.5476,3.1319,6.5505,576,3
write,278606.3879,34935.8677,0.2891,131072.0000,8192.0000,0.1242,8.4415,4.4513,8.4682,576,4
read,332929.1881,41634.1439,0.2434,131072.0000,8192.0000,0.0787,7.0834,3.6552,7.0865,576,4
