access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,7299.9543,467250.9143,0.0044,131072.0000,16.0000,0.0071,35.9062,0.3093,35.9104,64,0
read,7917.5189,506768.1668,0.0040,131072.0000,16.0000,0.0060,33.1063,0.2846,33.1094,64,0
write,7292.2366,466745.8765,0.0044,131072.0000,16.0000,0.0065,35.9451,0.3419,35.9484,64,1
read,7882.5564,504531.9325,0.0040,131072.0000,16.0000,0.0063,33.2530,0.3113,33.2562,64,1
write,7282.3998,466115.5298,0.0044,131072.0000,16.0000,0.0063,35.9937,0.3212,35.9969,64,2
read,7887.5281,504849.3136,0.0040,131072.0000,16.0000,0.0062,33.2321,0.2887,33.2353,64,2
write,7275.3110,465659.7757,0.0044,131072.0000,16.0000,0.0060,36.0289,0.3348,36.0320,64,3
read,7875.7864,504095.2808,0.0040,131072.0000,16.0000,0.0071,33.2818,0.3104,33.2848,64,3
write,7269.4957,465286.2596,0.0044,131072.0000,16.0000,0.0058,36.0578,0.3298,36.0608,64,4
read,7946.7225,508634.3775,0.0040,131072.0000,16.0000,0.0057,32.9848,0.2908,32.9877,64,4
