access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,137284.6912,68823.8596,0.0188,131072.0000,2048.0000,0.0068,1.4283,0.2893,1.4321,48,0
read,180822.7253,90681.4113,0.0169,131072.0000,2048.0000,0.0062,1.0841,0.1203,1.0873,48,0
write,167530.7075,84001.1304,0.0155,131072.0000,2048.0000,0.0065,1.1703,0.1995,1.1736,48,1
read,177889.8631,89199.4853,0.0168,131072.0000,2048.0000,0.0062,1.1021,0.1367,1.1052,48,1
write,168474.7207,84476.3939,0.0152,131072.0000,2048.0000,0.0064,1.1637,0.2101,1.1670,48,2
read,183184.6074,91865.1655,0.0165,131072.0000,2048.0000,0.0063,1.0701,0.1195,1.0733,48,2
write,171501.7080,85985.9051,0.0154,131072.0000,2048.0000,0.0061,1.1433,0.1890,1.1464,48,3
read,166235.8515,83330.3073,0.0174,131072.0000,2048.0000,0.0059,1.1797,0.1174,1.1827,48,3
write,162216.0810,81308.9637,0.0159,131072.0000,2048.0000,0.0058,1.2090,0.2071,1.2120,48,4
read,181582.9086,91035.2915,0.0166,131072.0000,2048.0000,0.0057,1.0798,0.1039,1.0827,48,4
