access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,9782.5465,626196.0152,0.0127,131072.0000,16.0000,0.0549,107.1691,39.3898,107.1884,256,0
read,9173.2527,587105.1600,0.0128,131072.0000,16.0000,0.0510,114.3047,45.9783,114.3080,256,0
write,9809.7338,627842.6790,0.0126,131072.0000,16.0000,0.0643,106.8880,39.5498,106.8914,256,1
read,9535.6949,610302.2769,0.0127,131072.0000,16.0000,0.0432,109.9600,42.3441,109.9632,256,1
write,9830.3346,629262.7001,0.0126,131072.0000,16.0000,0.0638,106.6468,39.6542,106.6674,256,2
read,9624.7405,616000.5315,0.0128,131072.0000,16.0000,0.0552,108.9429,40.5533,108.9459,256,2
write,9829.0921,629326.7035,0.0123,131072.0000,16.0000,0.0909,106.6360,39.6068,106.6809,256,3
read,9462.1082,605591.9513,0.0128,131072.0000,16.0000,0.0516,110.8153,41.2419,110.8184,256,3
write,9824.9921,628928.3696,0.0125,131072.0000,16.0000,0.0679,106.7035,39.6184,106.7254,256,4
read,9294.2936,594851.2376,0.0132,131072.0000,16.0000,0.0615,112.8162,41.8687,112.8193,256,4
