access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,11069.6761,708519.0164,0.0254,131072.0000,16.0000,0.1242,213.1135,10.6587,213.1314,576,0
read,9942.8755,636352.2256,0.0284,131072.0000,16.0000,0.1392,237.2820,13.5784,237.2851,576,0
write,11102.8069,710724.0625,0.0253,131072.0000,16.0000,0.1885,212.4523,10.5826,212.4955,576,1
read,9953.9633,637061.8122,0.0278,131072.0000,16.0000,0.1200,237.0177,13.5260,237.0208,576,1
write,11066.8386,708526.4166,0.0254,131072.0000,16.0000,0.1914,213.1112,10.8960,213.1861,576,2
read,9974.6045,638382.9641,0.0284,131072.0000,16.0000,0.1426,236.5272,13.1036,236.5303,576,2
write,11082.6441,709458.6888,0.0253,131072.0000,16.0000,0.1100,212.8312,10.4176,212.8821,576,3
read,9968.9288,638019.7393,0.0278,131072.0000,16.0000,0.1201,236.6619,13.7941,236.6649,576,3
write,11061.7223,708092.7757,0.0250,131072.0000,16.0000,0.1416,213.2418,10.5615,213.2847,576,4
read,9955.6476,637170.1529,0.0283,131072.0000,16.0000,0.1322,236.9774,13.3269,236.9807,576,4
