access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,287816.3554,18072.7900,0.5539,131072.0000,16384.0000,0.1582,8.1590,4.0244,8.1972,576,0
read,339222.3692,21211.2186,0.4737,131072.0000,16384.0000,0.1503,6.9518,3.5361,6.9550,576,0
write,254557.5926,16018.8260,0.6374,131072.0000,16384.0000,0.1368,9.2052,4.2851,9.2682,576,1
read,350080.5348,21890.4146,0.4797,131072.0000,16384.0000,0.1006,6.7361,3.4439,6.7393,576,1
write,254078.4520,15994.8660,0.6380,131072.0000,16384.0000,0.1358,9.2190,4.3166,9.2857,576,2
read,324424.8442,20285.2223,0.4647,131072.0000,16384.0000,3.5157,7.2691,3.9520,7.2722,576,2
write,258241.6229,16206.6988,0.6335,131072.0000,16384.0000,0.1193,9.0985,4.1665,9.1360,576,3
read,314149.2810,19642.5301,0.4927,131072.0000,16384.0000,0.1268,7.5070,4.1937,7.5101,576,3
write,253581.1543,15911.4098,0.6448,131072.0000,16384.0000,0.1082,9.2673,4.3474,9.3039,576,4
read,341969.5729,21382.7407,0.4891,131072.0000,16384.0000,0.1045,6.8960,3.5909,6.8991,576,4
