access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,311427.5062,156023.0545,0.0564,131072.0000,2048.0000,0.0507,5.0405,1.5389,5.0505,384,0
read,281135.2035,140644.8713,0.0570,131072.0000,2048.0000,0.1079,5.5916,2.0688,5.5947,384,0
write,329020.7533,165313.9093,0.0612,131072.0000,2048.0000,0.0795,4.7572,1.1056,4.7804,384,1
read,290845.2378,145508.0477,0.0531,131072.0000,2048.0000,0.3912,5.4047,2.2133,5.4079,384,1
write,284100.4711,143363.4043,0.0699,131072.0000,2048.0000,0.0934,5.4856,1.2574,5.5363,384,2
read,334191.3082,167204.2500,0.0506,131072.0000,2048.0000,0.3925,4.7034,1.5600,4.7065,384,2
write,320990.6945,160950.2745,0.0619,131072.0000,2048.0000,0.0853,4.8862,1.0975,4.9000,384,3
read,325222.4026,162714.4942,0.0469,131072.0000,2048.0000,0.0765,4.8332,1.8757,4.8363,384,3
write,299562.7922,150178.6318,0.0599,131072.0000,2048.0000,0.0824,5.2366,1.5916,5.2505,384,4
read,399214.6119,199766.0538,0.0488,131072.0000,2048.0000,0.0751,3.9368,0.9352,3.9399,384,4
