access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,236040.1718,29640.2498,0.0407,131072.0000,8192.0000,0.0070,0.8291,0.2032,0.8329,48,0
read,245027.0751,30744.9427,0.0346,131072.0000,8192.0000,0.0061,0.7994,0.2453,0.8024,48,0
write,252532.2538,31694.2420,0.0360,131072.0000,8192.0000,0.0062,0.7754,0.2279,0.7785,48,1
read,244645.3665,30695.8600,0.0348,131072.0000,8192.0000,0.0062,0.8006,0.2481,0.8036,48,1
write,256150.7273,32149.9040,0.0384,131072.0000,8192.0000,0.0062,0.7644,0.1641,0.7675,48,2
read,224211.3691,28123.1412,0.0402,131072.0000,8192.0000,0.0062,0.8739,0.2486,0.8769,48,2
write,264875.0763,33249.3218,0.0368,131072.0000,8192.0000,0.0062,0.7391,0.1568,0.7423,48,3
read,240720.1930,30200.1773,0.0347,131072.0000,8192.0000,0.0061,0.8138,0.2599,0.8167,48,3
write,277099.2267,34783.5410,0.0344,131072.0000,8192.0000,0.0059,0.7065,0.1733,0.7095,48,4
read,244399.6422,30658.3734,0.0381,131072.0000,8192.0000,0.0058,0.8016,0.2313,0.8045,48,4
