access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,448109.4942,28124.2998,0.0757,131072.0000,16384.0000,0.0067,0.8738,0.2813,0.8775,96,0
read,426037.5048,26714.6128,0.0677,131072.0000,16384.0000,0.0060,0.9199,0.3967,0.9230,96,0
write,431302.1334,27046.5355,0.0853,131072.0000,16384.0000,0.0060,0.9087,0.3706,0.9117,96,1
read,426984.9683,26771.0129,0.0676,131072.0000,16384.0000,0.0058,0.9180,0.4041,0.9209,96,1
write,382765.3647,23997.3030,0.1002,131072.0000,16384.0000,0.0062,1.0241,0.3396,1.0273,96,2
read,427956.6429,26836.4312,0.0715,131072.0000,16384.0000,0.0061,0.9158,0.3524,0.9188,96,2
write,371457.8859,23288.6065,0.1036,131072.0000,16384.0000,0.0064,1.0553,0.3108,1.0586,96,3
read,427902.6807,26836.7875,0.0762,131072.0000,16384.0000,0.0063,0.9158,0.3334,0.9189,96,3
write,410392.5298,25733.9821,0.0925,131072.0000,16384.0000,0.0061,0.9550,0.3958,0.9581,96,4
read,418944.6698,26267.7483,0.0673,131072.0000,16384.0000,0.0059,0.9356,0.4282,0.9386,96,4
