access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,116257.0436,116618.1217,0.0280,131072.0000,1024.0000,0.0439,4.4958,2.9144,4.5097,128,0
read,117824.8622,117903.6647,0.0339,131072.0000,1024.0000,0.0404,4.4467,2.3513,4.4497,128,0
write,130350.0223,130835.2176,0.0265,131072.0000,1024.0000,0.0573,4.0072,2.4282,4.0222,128,1
read,198803.2744,199033.8458,0.0177,131072.0000,1024.0000,0.0345,2.6342,1.5869,2.6372,128,1
write,135135.1774,135800.6041,0.0257,131072.0000,1024.0000,0.0490,3.8607,2.2678,3.8797,128,2
read,159531.8400,159689.9633,0.0246,131072.0000,1024.0000,0.0241,3.2832,1.7469,3.2864,128,2
write,135612.7164,136139.7295,0.0255,131072.0000,1024.0000,0.0426,3.8511,2.2703,3.8661,128,3
read,160909.7411,161065.1941,0.0247,131072.0000,1024.0000,0.0245,3.2551,1.7113,3.2583,128,3
write,130582.2199,131293.9533,0.0268,131072.0000,1024.0000,0.0571,3.9932,2.4132,4.0150,128,4
read,149273.4759,149413.8985,0.0260,131072.0000,1024.0000,0.0173,3.5090,1.7310,3.5123,128,4
