access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,271328.4559,34064.5351,0.0427,131072.0000,8192.0000,0.0072,0.9619,0.3131,0.9662,64,0
read,312922.9190,39259.1867,0.0355,131072.0000,8192.0000,0.0061,0.8347,0.2682,0.8377,64,0
write,302299.9927,37924.5723,0.0362,131072.0000,8192.0000,0.0062,0.8640,0.3166,0.8672,64,1
read,312634.4578,39218.5433,0.0371,131072.0000,8192.0000,0.0059,0.8355,0.2600,0.8385,64,1
write,295416.4395,37055.0085,0.0361,131072.0000,8192.0000,0.0060,0.8843,0.3442,0.8874,64,2
read,293089.9289,36758.7032,0.0348,131072.0000,8192.0000,0.0059,0.8914,0.3350,0.8944,64,2
write,306978.4946,38512.3951,0.0354,131072.0000,8192.0000,0.0060,0.8508,0.3091,0.8539,64,3
read,316669.8572,39724.0319,0.0345,131072.0000,8192.0000,0.0058,0.8249,0.2730,0.8278,64,3
write,294735.2525,36966.2966,0.0390,131072.0000,8192.0000,0.0058,0.8864,0.3034,0.8894,64,4
read,310926.8428,38997.7727,0.0355,131072.0000,8192.0000,0.0057,0.8403,0.2884,0.8431,64,4
