access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,128796.4136,64554.4758,0.0233,131072.0000,2048.0000,0.0069,1.5228,0.1084,1.5265,48,0
write,135173.0477,67748.2046,0.0219,131072.0000,2048.0000,0.0067,1.4510,0.0822,1.4545,48,1
write,128955.9919,64623.7323,0.0228,131072.0000,2048.0000,0.0066,1.5212,0.0842,1.5246,48,2
write,127885.0256,64077.8383,0.0231,131072.0000,2048.0000,0.0062,1.5341,0.0849,1.5374,48,3
write,133932.0760,67129.7984,0.0220,131072.0000,2048.0000,0.0069,1.4644,0.0925,1.4680,48,4
