access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,610125.2687,305866.2347,0.0333,131072.0000,2048.0000,0.0100,2.5712,0.6358,2.5779,384,0
write,788122.8463,394757.5511,0.0285,131072.0000,2048.0000,0.0069,1.9922,0.2893,1.9957,384,1
write,601397.8470,301089.5322,0.0393,131072.0000,2048.0000,0.0064,2.6120,0.1832,2.6153,384,2
write,806847.6716,404159.0118,0.0283,131072.0000,2048.0000,0.0069,1.9458,0.1961,1.9494,384,3
write,747641.7594,374464.4917,0.0309,131072.0000,2048.0000,0.0069,2.1002,0.2388,2.1038,384,4
