access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,82456.2396,82596.5342,0.0146,131072.0000,1024.0000,0.0076,2.3803,0.5170,2.3844,48,0
write,78234.6634,78347.3621,0.0166,131072.0000,1024.0000,0.0072,2.5094,0.3946,2.5131,48,1
write,79264.6625,79371.8008,0.0160,131072.0000,1024.0000,0.0066,2.4771,0.4512,2.4804,48,2
write,83790.8027,83911.2780,0.0156,131072.0000,1024.0000,0.0064,2.3430,0.3593,2.3464,48,3
write,85177.4405,85301.1273,0.0152,131072.0000,1024.0000,0.0065,2.3049,0.3907,2.3082,48,4
