access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,602245.6021,37668.2541,0.7525,131072.0000,16384.0000,0.0085,6.9593,2.2727,6.9644,1024,0
read,492380.1685,30786.0659,0.9496,131072.0000,16384.0000,0.0067,8.5150,1.4508,8.5184,1024,0
write,1286157.6151,80468.0776,0.3387,131072.0000,16384.0000,0.0080,3.2577,1.1209,3.2611,1024,1
read,426532.2472,26667.2908,1.1892,131072.0000,16384.0000,0.0065,9.8302,1.4386,9.8335,1024,1
write,1831922.4782,114670.0533,0.2543,131072.0000,16384.0000,0.0068,2.2861,0.6864,2.2896,1024,2
read,470065.0034,29389.9886,0.9957,131072.0000,16384.0000,0.0065,8.9195,1.8130,8.9228,1024,2
write,1260232.0089,78847.1350,0.3151,131072.0000,16384.0000,0.0068,3.3247,1.6436,3.3282,1024,3
read,421904.1544,26377.9168,1.2036,131072.0000,16384.0000,0.0066,9.9380,1.5453,9.9414,1024,3
write,674763.6701,42197.4863,0.6734,131072.0000,16384.0000,0.0071,6.2123,2.0656,6.2160,1024,4
read,495848.6655,31003.4353,0.9770,131072.0000,16384.0000,0.0069,8.4553,1.7466,8.4588,1024,4
