access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,570841.4668,285618.0563,0.1042,131072.0000,2048.0000,0.0086,7.3425,2.7554,7.3476,1024,0
read,1480518.9137,741149.2142,0.0426,131072.0000,2048.0000,0.0067,2.8296,0.2193,2.8330,1024,0
write,868113.2689,434377.6025,0.0709,131072.0000,2048.0000,0.0070,4.8279,1.3191,4.8315,1024,1
read,2146247.3027,1074996.7305,0.0301,131072.0000,2048.0000,0.0067,1.9508,0.0983,1.9543,1024,1
write,1438667.8662,720161.2160,0.0439,131072.0000,2048.0000,0.0064,2.9121,0.5932,2.9154,1024,2
read,1448821.6132,725220.5153,0.0432,131072.0000,2048.0000,0.0063,2.8917,0.3762,2.8950,1024,2
write,1002254.5386,501541.1292,0.0540,131072.0000,2048.0000,0.0066,4.1814,1.0787,4.1849,1024,3
read,1449393.3773,725601.8362,0.0439,131072.0000,2048.0000,0.0068,2.8902,0.2820,2.8938,1024,3
write,789012.1286,394767.6791,0.0755,131072.0000,2048.0000,0.0067,5.3124,0.9036,5.3159,1024,4
read,1366723.6034,684121.7778,0.0445,131072.0000,2048.0000,0.0066,3.0655,0.3496,3.0689,1024,4
