access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,529743.3463,265560.7095,0.0223,131072.0000,2048.0000,0.0069,1.4807,0.1435,1.4846,192,0
read,651909.2296,326866.9054,0.0183,131072.0000,2048.0000,0.0063,1.2030,0.0562,1.2064,192,0
write,613255.4519,307490.4462,0.0194,131072.0000,2048.0000,0.0069,1.2788,0.0891,1.2824,192,1
read,669405.3210,335680.0890,0.0181,131072.0000,2048.0000,0.0066,1.1714,0.0284,1.1748,192,1
write,602254.3232,301951.0383,0.0195,131072.0000,2048.0000,0.0068,1.3023,0.0931,1.3058,192,2
read,663804.1084,332875.9352,0.0181,131072.0000,2048.0000,0.0067,1.1813,0.0372,1.1847,192,2
write,603207.2113,302397.3234,0.0195,131072.0000,2048.0000,0.0065,1.3003,0.0886,1.3038,192,3
read,617440.8071,309528.4860,0.0196,131072.0000,2048.0000,0.0064,1.2704,0.0293,1.2737,192,3
write,564358.2062,282857.4572,0.0207,131072.0000,2048.0000,0.0063,1.3902,0.1142,1.3935,192,4
read,704575.1689,353307.1474,0.0170,131072.0000,2048.0000,0.0071,1.1130,0.0458,1.1162,192,4
