access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,1127518.0486,70780.6263,0.0894,131072.0000,16384.0000,0.0074,0.9259,0.2614,0.9300,256,0
read,1587402.0196,99743.7106,0.0798,131072.0000,16384.0000,0.0068,0.6570,0.0459,0.6606,256,0
write,1337597.2504,83977.2382,0.0899,131072.0000,16384.0000,0.0068,0.7804,0.1045,0.7839,256,1
read,1585273.5167,99589.5476,0.0777,131072.0000,16384.0000,0.0065,0.6581,0.0465,0.6614,256,1
write,1389860.4185,87271.1391,0.0879,131072.0000,16384.0000,0.0068,0.7509,0.0872,0.7544,256,2
read,1569161.1752,98566.9908,0.0797,131072.0000,16384.0000,0.0065,0.6649,0.0421,0.6682,256,2
write,1115161.2431,69955.5208,0.1113,131072.0000,16384.0000,0.0066,0.9368,0.1187,0.9403,256,3
read,1726659.3347,108515.7169,0.0700,131072.0000,16384.0000,0.0065,0.6039,0.0674,0.6073,256,3
write,1337612.7093,83973.3387,0.0931,131072.0000,16384.0000,0.0066,0.7804,0.0864,0.7839,256,4
read,1592179.8337,100020.1246,0.0799,131072.0000,16384.0000,0.0065,0.6552,0.0280,0.6586,256,4
