access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,426642.3368,427596.4864,0.0134,131072.0000,1024.0000,0.0074,1.8392,0.1729,1.8433,192,0
read,505944.4793,507084.6413,0.0119,131072.0000,1024.0000,0.0068,1.5509,0.0487,1.5544,192,0
write,478714.3631,479770.7020,0.0124,131072.0000,1024.0000,0.0070,1.6392,0.0469,1.6428,192,1
read,552438.0849,553796.8696,0.0108,131072.0000,1024.0000,0.0067,1.4201,0.0494,1.4236,192,1
write,410218.5413,410968.8313,0.0145,131072.0000,1024.0000,0.0066,1.9136,0.1158,1.9171,192,2
read,607281.5730,608861.2197,0.0099,131072.0000,1024.0000,0.0065,1.2916,0.0410,1.2950,192,2
write,468621.9653,469546.7435,0.0128,131072.0000,1024.0000,0.0063,1.6749,0.0681,1.6782,192,3
read,506068.5210,507117.3063,0.0119,131072.0000,1024.0000,0.0062,1.5508,0.0433,1.5540,192,3
write,443895.3539,444705.6033,0.0135,131072.0000,1024.0000,0.0061,1.7684,0.1017,1.7717,192,4
read,597188.8307,598616.7052,0.0099,131072.0000,1024.0000,0.0074,1.3137,0.0514,1.3169,192,4
