access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,309676.9765,154999.3206,0.0983,131072.0000,2048.0000,0.0104,6.7650,0.8061,6.7721,512,0
read,1094277.9698,548162.9893,0.0289,131072.0000,2048.0000,0.0069,1.9129,0.2067,1.9165,512,0
write,709301.4779,355062.5475,0.0381,131072.0000,2048.0000,0.0067,2.9532,1.0611,2.9566,512,1
read,1587280.8507,795603.5879,0.0196,131072.0000,2048.0000,0.0063,1.3180,0.0735,1.3212,512,1
write,826883.8786,414014.9167,0.0369,131072.0000,2048.0000,0.0068,2.5327,0.6470,2.5362,512,2
read,1418753.5137,711008.8995,0.0226,131072.0000,2048.0000,0.0066,1.4748,0.0344,1.4782,512,2
write,814519.0487,407822.6295,0.0323,131072.0000,2048.0000,0.0068,2.5712,0.7376,2.5747,512,3
read,1394180.1396,698687.4111,0.0208,131072.0000,2048.0000,0.0067,1.5008,0.2185,1.5042,512,3
write,665385.9124,333063.1177,0.0450,131072.0000,2048.0000,0.0068,3.1483,1.4618,3.1518,512,4
read,1232157.7188,617303.6483,0.0250,131072.0000,2048.0000,0.0075,1.6986,0.1919,1.7020,512,4
