access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,653271.1615,654082.6994,0.0221,131072.0000,1024.0000,0.0071,3.2062,0.5797,3.2102,512,0
read,1308198.3762,1310841.1831,0.0120,131072.0000,1024.0000,0.0063,1.5999,0.0996,1.6031,512,0
write,770394.8873,771342.3752,0.0201,131072.0000,1024.0000,0.0066,2.7188,0.2870,2.7222,512,1
read,1086276.3015,1088099.5042,0.0147,131072.0000,1024.0000,0.0063,1.9274,0.0721,1.9306,512,1
write,640263.9687,640949.8361,0.0245,131072.0000,1024.0000,0.0068,3.2719,0.5150,3.2754,512,2
read,1051239.7497,1053031.9808,0.0154,131072.0000,1024.0000,0.0066,1.9915,0.0913,1.9949,512,2
write,591266.1729,591846.8921,0.0256,131072.0000,1024.0000,0.0067,3.5434,0.4860,3.5469,512,3
read,805189.0593,806225.4522,0.0187,131072.0000,1024.0000,0.0077,2.6012,0.2725,2.6045,512,3
write,440423.4461,440755.3825,0.0341,131072.0000,1024.0000,0.0068,4.7581,0.6009,4.7617,512,4
read,649168.7445,649833.4079,0.0242,131072.0000,1024.0000,0.0065,3.2272,0.3441,3.2305,512,4
