access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,817845.9065,818502.0280,0.0334,131072.0000,1024.0000,0.0074,5.1244,1.2630,5.1285,1024,0
read,1507134.9168,1508984.5945,0.0193,131072.0000,1024.0000,0.0066,2.7796,0.3725,2.7830,1024,0
write,1019186.2473,1020056.4947,0.0303,131072.0000,1024.0000,0.0069,4.1118,0.6513,4.1153,1024,1
read,1356816.5346,1358296.0610,0.0192,131072.0000,1024.0000,0.0066,3.0879,0.7191,3.0913,1024,1
write,808652.9197,809190.6957,0.0358,131072.0000,1024.0000,0.0066,5.1833,1.6139,5.1868,1024,2
read,1434332.0646,1435971.7439,0.0199,131072.0000,1024.0000,0.0065,2.9209,0.5214,2.9242,1024,2
write,754720.7535,755195.8463,0.0420,131072.0000,1024.0000,0.0067,5.5539,1.3392,5.5574,1024,3
read,1276989.4584,1278306.5237,0.0248,131072.0000,1024.0000,0.0066,3.2811,0.3374,3.2845,1024,3
write,651984.3524,652343.5187,0.0467,131072.0000,1024.0000,0.0068,6.4296,1.4608,6.4331,1024,4
read,931962.1354,932670.6616,0.0333,131072.0000,1024.0000,0.0067,4.4971,0.4830,4.5005,1024,4
