access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,132998.9639,8512725.2804,0.0055,131072.0000,16.0000,0.0081,47.3002,4.0321,47.3045,1536,0
read,152146.0947,9738253.4187,0.0048,131072.0000,16.0000,0.0076,41.3476,2.2388,41.3514,1536,0
write,128472.2251,8222801.0463,0.0053,131072.0000,16.0000,0.0083,48.9679,6.8056,48.9713,1536,1
read,146181.0411,9356322.7277,0.0048,131072.0000,16.0000,0.0068,43.0354,4.1844,43.0388,1536,1
write,72789.4319,4658708.4171,0.0098,131072.0000,16.0000,0.0066,86.4302,8.9687,86.4336,1536,2
read,145904.6861,9338621.2448,0.0048,131072.0000,16.0000,0.0065,43.1170,4.0312,43.1203,1536,2
write,68321.2110,4372724.3604,0.0109,131072.0000,16.0000,0.0070,92.0829,6.8004,92.0864,1536,3
read,145649.9352,9322326.1976,0.0048,131072.0000,16.0000,0.0066,43.1924,4.1851,43.1957,1536,3
write,101936.6876,6524306.3443,0.0071,131072.0000,16.0000,0.0074,61.7159,4.7555,61.7193,1536,4
read,145164.5703,9301047.3170,0.0048,131072.0000,16.0000,0.0065,43.2912,4.1129,43.3402,1536,4
