access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,60036.4561,3842792.4793,0.0042,131072.0000,16.0000,0.0075,34.9271,0.4841,34.9313,512,0
read,56789.6857,3634891.7809,0.0044,131072.0000,16.0000,0.0070,36.9248,0.9285,36.9284,512,0
write,27069.5934,1732533.3889,0.0089,131072.0000,16.0000,0.0069,77.4691,11.1575,77.4726,512,1
read,55016.5243,3521374.7837,0.0046,131072.0000,16.0000,0.0067,38.1151,0.3062,38.1186,512,1
write,30640.5277,1961097.9769,0.0081,131072.0000,16.0000,0.0070,68.4401,4.8940,68.4437,512,2
read,54401.0081,3481984.3366,0.0047,131072.0000,16.0000,0.0069,38.5463,0.3197,38.5499,512,2
write,54814.8294,3508489.1948,0.0046,131072.0000,16.0000,0.0071,38.2551,1.8097,38.2588,512,3
read,55196.4406,3532905.3616,0.0046,131072.0000,16.0000,0.0070,37.9908,0.5555,37.9943,512,3
write,58070.5466,3716883.2307,0.0043,131072.0000,16.0000,0.0069,36.1103,0.7780,36.1139,512,4
read,55796.0912,3571280.8943,0.0046,131072.0000,16.0000,0.0068,37.5825,0.5677,37.5860,512,4
