access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,73577.2171,4709277.2156,0.0064,131072.0000,16.0000,0.0081,57.0014,8.8873,57.0055,1024,0
read,100872.0954,6456318.7642,0.0048,131072.0000,16.0000,0.0064,41.5772,2.1486,41.5804,1024,0
write,55821.8042,3572753.6260,0.0091,131072.0000,16.0000,0.0066,75.1341,4.5186,75.1374,1024,1
read,102126.4701,6536613.5725,0.0047,131072.0000,16.0000,0.0064,41.0664,2.4132,41.0697,1024,1
write,95541.1290,6115107.7965,0.0050,131072.0000,16.0000,0.0065,43.8971,3.6424,43.9005,1024,2
read,103883.4610,6649089.1101,0.0047,131072.0000,16.0000,0.0064,40.3718,2.0033,40.3751,1024,2
write,73801.1875,4723561.4885,0.0066,131072.0000,16.0000,0.0760,56.8290,4.2233,56.8325,1024,3
read,102332.7570,6549829.5432,0.0048,131072.0000,16.0000,0.0065,40.9836,2.2167,40.9869,1024,3
write,74670.9102,4779231.0335,0.0063,131072.0000,16.0000,0.0066,56.1671,6.4180,56.1705,1024,4
read,100181.7571,6412144.1067,0.0049,131072.0000,16.0000,0.0065,41.8636,2.2601,41.8669,1024,4
