access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,1320991.5475,82767.6508,0.1230,131072.0000,16384.0000,0.0072,1.5836,0.7135,1.5876,512,0
read,1904588.6161,119400.4940,0.1343,131072.0000,16384.0000,0.0066,1.0978,0.0863,1.1011,512,0
write,1177591.2252,73746.6078,0.1736,131072.0000,16384.0000,0.0069,1.7773,0.9309,1.7809,512,1
read,1666645.7654,104445.8234,0.1146,131072.0000,16384.0000,0.0067,1.2549,0.3935,1.2583,512,1
write,1764912.5654,110629.3650,0.1431,131072.0000,16384.0000,0.0067,1.1848,0.1827,1.1882,512,2
read,755710.0371,47288.9637,0.3012,131072.0000,16384.0000,0.0066,2.7717,0.5686,2.7751,512,2
write,838665.2456,52489.5202,0.2852,131072.0000,16384.0000,0.0067,2.4971,0.9682,2.5006,512,3
read,2036720.5585,127711.1623,0.1102,131072.0000,16384.0000,0.0066,1.0263,0.1741,1.0297,512,3
write,1604480.2800,100550.9004,0.1513,131072.0000,16384.0000,0.0068,1.3035,0.3616,1.3071,512,4
read,946078.8128,59220.0608,0.2134,131072.0000,16384.0000,0.0067,2.2133,0.5440,2.2167,512,4
