access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,496694.8359,497606.1315,0.0145,131072.0000,1024.0000,0.0069,2.1072,0.2652,2.1111,256,0
read,647451.4650,648750.4254,0.0125,131072.0000,1024.0000,0.0063,1.6163,0.0336,1.6195,256,0
write,511771.3152,512636.5091,0.0156,131072.0000,1024.0000,0.0067,2.0455,0.1473,2.0489,256,1
read,827790.9154,829977.3223,0.0096,131072.0000,1024.0000,0.0064,1.2634,0.0552,1.2667,256,1
write,567837.4622,568903.3955,0.0140,131072.0000,1024.0000,0.0066,1.8432,0.0747,1.8466,256,2
read,655500.4989,656870.0534,0.0124,131072.0000,1024.0000,0.0064,1.5963,0.0337,1.5997,256,2
write,506182.1370,507008.4135,0.0158,131072.0000,1024.0000,0.0064,2.0682,0.1470,2.0715,256,3
read,751299.6443,753067.7187,0.0107,131072.0000,1024.0000,0.0063,1.3924,0.0426,1.3957,256,3
write,577353.4533,578462.5227,0.0138,131072.0000,1024.0000,0.0066,1.8127,0.0712,1.8162,256,4
read,722355.7732,724042.6557,0.0111,131072.0000,1024.0000,0.0065,1.4482,0.0377,1.4516,256,4
