access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,30979.6266,1982941.6263,0.0041,131072.0000,16.0000,0.0075,33.8431,0.4181,33.8473,256,0
read,28774.7562,1841763.3650,0.0043,131072.0000,16.0000,0.0069,36.4373,1.8592,36.4408,256,0
write,30797.5208,1971242.8625,0.0041,131072.0000,16.0000,0.0068,34.0439,0.4666,34.0474,256,1
read,28801.6328,1843476.3019,0.0042,131072.0000,16.0000,0.0066,36.4034,1.9495,36.4068,256,1
write,28955.0298,1853299.9518,0.0043,131072.0000,16.0000,0.0066,36.2105,1.3241,36.2139,256,2
read,28798.2717,1843262.6729,0.0044,131072.0000,16.0000,0.0066,36.4077,0.8727,36.4111,256,2
write,30547.2289,1955233.6360,0.0042,131072.0000,16.0000,0.0070,34.3227,0.5389,34.3264,256,3
read,28660.5146,1834454.0479,0.0043,131072.0000,16.0000,0.0069,36.5825,2.0363,36.5861,256,3
write,30543.1278,1954959.6614,0.0042,131072.0000,16.0000,0.0066,34.3275,0.4666,34.3310,256,4
read,28554.9695,1827685.8289,0.0042,131072.0000,16.0000,0.0065,36.7179,2.1032,36.7213,256,4
