access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,11017.6119,708289.9878,0.0012,131072.0000,16.0000,0.1671,9.9929,0.6000,10.0377,864,0
write,10905.8377,698566.5248,0.0012,131072.0000,16.0000,0.1060,10.1320,0.7299,10.1406,864,1
write,10840.9245,695997.7697,0.0012,131072.0000,16.0000,0.1594,10.1694,0.7003,10.2013,864,2
write,10762.1013,690072.2889,0.0012,131072.0000,16.0000,0.1198,10.2567,0.8434,10.2761,864,3
write,10769.8372,691634.6939,0.0012,131072.0000,16.0000,0.1585,10.2336,0.7835,10.2687,864,4
