access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,88154.6730,49392.8463,0.0013,131072.0000,2048.0000,0.0523,0.1659,0.1017,0.1859,128,0
write,107454.4374,54945.2516,0.0011,131072.0000,2048.0000,0.0246,0.1491,0.0924,0.1525,128,1
write,92543.6316,54248.3925,0.0013,131072.0000,2048.0000,0.0540,0.1510,0.0905,0.1770,128,2
write,75232.5875,44576.9547,0.0011,131072.0000,2048.0000,0.0865,0.1838,0.1223,0.2178,128,3
write,83657.1258,48161.0610,0.0012,131072.0000,2048.0000,0.0627,0.1701,0.1103,0.1958,128,4
