,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,fromCSV,segments,nnodes,bw(GiB/s),tasks_per_node,xfer_str
30,write,128070.6694,66284.7921,0.0009,131072,2048,0.0167,0.0927,0.035,0.0959,96,3,write_n-4_ppn-24_tx-2M.csv,1,4,125.0690130859375,24.0,2M
31,write,121810.5035,8364.6033,0.0086,131072,16384,0.0561,0.1836,0.1152,0.2018,192,2,write_n-4_ppn-48_tx-16M.csv,1,4,118.95556982421876,48.0,4M
32,write,54131.8748,3801.8429,0.0027,131072,16384,0.0061,0.0253,0.0062,0.0284,12,3,write_n-1_ppn-12_tx-16M.csv,1,1,52.863158984375,12.0,4M
33,write,1316.8775,84393.243,0.0003,131072,16,0.0163,2.3297,0.1345,2.3328,24,1,write_n-1_ppn-24_tx-16K.csv,1,1,1.28601318359375,24.0,16K
34,write,14840.0401,14893.0812,0.0047,131072,1024,0.0502,0.8251,0.2748,0.828,96,3,write_n-1_ppn-96_tx-1M.csv,1,1,14.49222666015625,96.0,1M
35,write,37273.9661,2400.2383,0.005,131072,16384,0.0219,0.1067,0.0691,0.1099,32,3,write_n-1_ppn-32_tx-16M.csv,1,1,36.40035751953125,32.0,4M
36,write,20118.0736,20318.6062,0.0018,131072,1024,0.0243,0.3024,0.0761,0.3054,48,3,write_n-1_ppn-48_tx-1M.csv,1,1,19.64655625,48.0,1M
37,write,29790.5786,15244.7873,0.0012,131072,2048,0.0174,0.1343,0.071,0.1375,32,3,write_n-1_ppn-32_tx-2M.csv,1,1,29.0923619140625,32.0,2M
38,write,32190.124,16633.1057,0.001,131072,2048,0.0151,0.0923,0.0312,0.0954,24,4,write_n-1_ppn-24_tx-2M.csv,1,1,31.43566796875,24.0,2M
39,write,28464.7027,1791.0707,0.0275,131072,16384,0.0473,0.4824,0.2634,0.4857,108,2,write_n-1_ppn-108_tx-16M.csv,1,1,27.79756123046875,108.0,4M
40,write,1187.411,76141.7244,0.0012,131072,16,0.0588,10.3285,0.8565,10.3486,96,3,write_n-1_ppn-96_tx-16K.csv,1,1,1.1595810546875,96.0,16K
41,write,29448.7138,14940.6277,0.0015,131072,2048,0.0268,0.2056,0.1073,0.2086,48,2,write_n-1_ppn-48_tx-2M.csv,1,1,28.7585095703125,48.0,2M
42,write,20967.2883,21866.3906,0.0004,131072,1024,0.0059,0.0702,0.0147,0.0733,12,3,write_n-1_ppn-12_tx-1M.csv,1,1,20.47586748046875,12.0,1M
43,write,22992.6303,11549.6239,0.0039,131072,2048,0.0745,0.7093,0.4991,0.7126,128,3,write_n-1_ppn-128_tx-2M.csv,1,1,22.45374052734375,128.0,2M
44,write,22189.4476,11903.9454,0.0007,131072,2048,0.0061,0.043,0.0051,0.0461,8,3,write_n-1_ppn-8_tx-2M.csv,1,1,21.669382421875,8.0,2M
45,write,26712.2936,13453.0301,0.0043,131072,2048,0.0581,0.4567,0.2356,0.46,96,0,write_n-1_ppn-96_tx-2M.csv,1,1,26.08622421875,96.0,2M
46,write,12680.7724,12711.8319,0.0066,131072,1024,0.0529,1.2889,0.5203,1.292,128,3,write_n-1_ppn-128_tx-1M.csv,1,1,12.383566796875,128.0,1M
47,write,1363.9297,87352.4447,0.0005,131072,16,0.0299,4.5015,0.2257,4.5046,48,1,write_n-1_ppn-48_tx-16K.csv,1,1,1.33196259765625,48.0,16K
48,write,42634.3916,2731.3659,0.0102,131072,16384,0.0227,0.1406,0.059,0.1441,48,0,write_n-1_ppn-48_tx-16M.csv,1,1,41.635148046875,48.0,4M
49,write,17390.1274,17701.6671,0.0009,131072,1024,0.0131,0.1735,0.0579,0.1767,24,4,write_n-1_ppn-24_tx-1M.csv,1,1,16.9825462890625,24.0,1M
50,write,898.3231,57504.0213,0.0016,131072,16,0.047,15.3856,3.506,15.3887,108,1,write_n-1_ppn-108_tx-16K.csv,1,1,0.87726865234375,108.0,16K
51,write,1191.477,76322.2669,0.0004,131072,16,0.0225,3.4347,1.2792,3.4377,32,2,write_n-1_ppn-32_tx-16K.csv,1,1,1.1635517578125,32.0,16K
52,write,30962.9016,1950.317,0.0255,131072,16384,0.0402,0.3938,0.2131,0.3969,96,1,write_n-1_ppn-96_tx-16M.csv,1,1,30.23720859375,96.0,4M
53,write,37206.4806,2605.4359,0.0024,131072,16384,0.0057,0.0246,0.0068,0.0275,8,3,write_n-1_ppn-8_tx-16M.csv,1,1,36.3344537109375,8.0,4M
54,write,1427.2955,91600.1377,0.0001,131072,16,0.0058,1.0732,0.0055,1.0762,12,2,write_n-1_ppn-12_tx-16K.csv,1,1,1.39384326171875,12.0,16K
55,write,44772.8223,2931.3501,0.0043,131072,16384,0.0114,0.0655,0.0315,0.0686,24,3,write_n-1_ppn-24_tx-16M.csv,1,1,43.72345927734375,24.0,4M
56,write,25391.5928,1595.2165,0.0357,131072,16384,0.0948,0.6419,0.3954,0.6453,128,1,write_n-1_ppn-128_tx-16M.csv,1,1,24.79647734375,128.0,4M
