access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,394533.0136,24865.0433,0.2497,131072.0000,16384.0000,0.0934,2.6357,1.4053,2.6578,256,0
read,278166.1613,17400.0406,0.4058,131072.0000,16384.0000,0.0528,3.7664,1.7845,3.7696,256,0
write,327974.7669,20594.6609,0.2815,131072.0000,16384.0000,0.0783,3.1822,1.8912,3.1971,256,1
read,306901.6133,19199.0179,0.3738,131072.0000,16384.0000,0.0570,3.4135,1.9924,3.4167,256,1
write,334517.2017,21163.2702,0.2769,131072.0000,16384.0000,0.0973,3.0967,1.7603,3.1346,256,2
read,271710.3753,16995.6964,0.4257,131072.0000,16384.0000,0.0634,3.8560,1.5914,3.8592,256,2
write,332386.1796,20955.1855,0.2784,131072.0000,16384.0000,0.0931,3.1274,1.8118,3.1547,256,3
read,236973.7741,14821.0132,0.5283,131072.0000,16384.0000,0.0555,4.4218,1.7394,4.4249,256,3
write,327003.3922,20577.5307,0.3008,131072.0000,16384.0000,0.0961,3.1848,1.8227,3.2066,256,4
read,292158.3813,18275.3885,0.4123,131072.0000,16384.0000,0.0523,3.5860,2.1062,3.5891,256,4
