access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,143902.9375,144061.2154,0.1074,131072.0000,1024.0000,0.1336,16.3770,3.0782,16.3951,576,0
read,174248.0292,174287.6619,0.0686,131072.0000,1024.0000,0.0820,13.5368,4.8937,13.5399,576,0
write,152728.0777,153065.5375,0.0906,131072.0000,1024.0000,0.1083,15.4136,4.0309,15.4477,576,1
read,174962.9298,175005.3674,0.0669,131072.0000,1024.0000,0.0904,13.4813,5.0753,13.4845,576,1
write,151448.8654,151598.2605,0.0905,131072.0000,1024.0000,0.1350,15.5628,4.6913,15.5782,576,2
read,177446.7511,177487.9351,0.0722,131072.0000,1024.0000,0.1237,13.2927,4.8712,13.2958,576,2
write,154338.3224,154558.7379,0.0863,131072.0000,1024.0000,0.1276,15.2647,4.3686,15.2865,576,3
read,177972.6624,178013.5913,0.0670,131072.0000,1024.0000,0.1153,13.2535,4.8418,13.2565,576,3
write,151668.8191,151968.7209,0.0887,131072.0000,1024.0000,0.1426,15.5249,4.6235,15.5556,576,4
read,180624.1476,180666.5396,0.0674,131072.0000,1024.0000,0.1098,13.0588,4.6502,13.0619,576,4
