access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,171513.7378,171776.9916,0.0576,131072.0000,1024.0000,0.0587,9.1564,2.1316,9.1705,384,0
read,215948.0646,216040.5503,0.0407,131072.0000,1024.0000,0.0638,7.2804,2.0959,7.2835,384,0
write,184658.8641,184877.0017,0.0557,131072.0000,1024.0000,0.0819,8.5076,1.7292,8.5177,384,1
read,202651.8627,202735.3203,0.0481,131072.0000,1024.0000,0.0547,7.7582,1.8046,7.7614,384,1
write,183669.1731,184162.1800,0.0569,131072.0000,1024.0000,0.0837,8.5406,1.7454,8.5636,384,2
read,203160.1671,203244.2819,0.0476,131072.0000,1024.0000,0.0643,7.7388,1.7289,7.7420,384,2
write,169926.4257,170421.2444,0.0549,131072.0000,1024.0000,0.1018,9.2293,2.4160,9.2561,384,3
read,214401.5884,214489.4763,0.0415,131072.0000,1024.0000,0.0616,7.3331,2.1214,7.3361,384,3
write,180386.0447,180951.2434,0.0567,131072.0000,1024.0000,0.0825,8.6922,1.8957,8.7194,384,4
read,209878.9344,209963.5137,0.0426,131072.0000,1024.0000,0.0457,7.4911,2.1288,7.4941,384,4
