access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,215802.8130,108313.1876,0.1200,131072.0000,2048.0000,0.1316,14.5214,7.0160,14.5769,768,0
read,244160.0813,122110.2661,0.0913,131072.0000,2048.0000,3.8729,12.8807,7.7343,12.8839,768,0
write,212924.7427,106563.7929,0.1165,131072.0000,2048.0000,0.1104,14.7598,7.7310,14.7739,768,1
read,270615.7151,135345.8830,0.0902,131072.0000,2048.0000,0.1336,11.6211,6.5779,11.6243,768,1
write,223132.7863,111909.7418,0.1043,131072.0000,2048.0000,0.1310,14.0548,7.4716,14.0980,768,2
read,285023.8659,142553.3951,0.0892,131072.0000,2048.0000,0.0998,11.0335,5.9291,11.0367,768,2
write,222017.2321,111361.1978,0.1059,131072.0000,2048.0000,0.1280,14.1240,7.6343,14.1688,768,3
read,245370.0156,122716.2024,0.0914,131072.0000,2048.0000,5.8036,12.8171,7.6684,12.8203,768,3
write,224049.4054,112563.2435,0.1059,131072.0000,2048.0000,0.1456,13.9732,7.4903,14.0403,768,4
read,289520.5537,144803.1658,0.0893,131072.0000,2048.0000,0.1072,10.8621,5.7614,10.8653,768,4
