access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,136913.9100,136972.8093,0.0518,131072.0000,1024.0000,0.0633,7.6554,3.6754,7.6587,256,0
read,187634.5894,187731.8696,0.0399,131072.0000,1024.0000,0.0696,5.5855,2.2167,5.5884,256,0
write,145623.4414,146088.6332,0.0417,131072.0000,1024.0000,0.0738,7.1777,3.6264,7.2006,256,1
read,189361.8724,189466.4942,0.0385,131072.0000,1024.0000,0.0431,5.5344,2.4224,5.5374,256,1
write,151259.6831,151332.7103,0.0425,131072.0000,1024.0000,0.0571,6.9289,3.4714,6.9323,256,2
read,191174.1385,191283.4353,0.0383,131072.0000,1024.0000,0.0512,5.4818,2.3186,5.4849,256,2
write,154357.1860,154695.7203,0.0412,131072.0000,1024.0000,0.0621,6.7783,3.2363,6.7932,256,3
read,181401.2297,181496.3016,0.0424,131072.0000,1024.0000,0.0666,5.7774,2.5166,5.7804,256,3
write,157617.3650,157849.5120,0.0405,131072.0000,1024.0000,0.0932,6.6429,3.1974,6.6527,256,4
read,189739.6669,189844.4445,0.0392,131072.0000,1024.0000,0.0496,5.5233,2.2553,5.5264,256,4
