access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,174444.2848,175147.8750,0.0284,131072.0000,1024.0000,0.0464,4.4901,1.1471,4.5082,192,0
read,171033.2734,171150.2907,0.0334,131072.0000,1024.0000,0.0282,4.5950,0.3487,4.5981,192,0
write,188198.1298,189603.8459,0.0274,131072.0000,1024.0000,0.0661,4.1478,0.7284,4.1787,192,1
read,248819.0092,249059.9762,0.0184,131072.0000,1024.0000,0.0325,3.1576,0.9078,3.1607,192,1
write,199597.8244,200354.4376,0.0259,131072.0000,1024.0000,0.0455,3.9252,0.6625,3.9401,192,2
read,236030.0208,236244.2372,0.0205,131072.0000,1024.0000,0.0308,3.3289,0.7381,3.3319,192,2
write,200628.9094,201816.6848,0.0257,131072.0000,1024.0000,0.0657,3.8968,0.6750,3.9198,192,3
read,215820.1592,216007.2257,0.0235,131072.0000,1024.0000,0.0237,3.6408,0.7269,3.6439,192,3
write,184525.8945,185528.0372,0.0280,131072.0000,1024.0000,0.0525,4.2389,0.8063,4.2619,192,4
read,241814.7212,242046.7823,0.0203,131072.0000,1024.0000,0.0435,3.2491,0.7029,3.2522,192,4
