access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,235386.3454,117888.3117,0.0298,131072.0000,2048.0000,0.0470,2.2237,1.1326,2.2274,128,0
read,271774.4466,136119.5130,0.0280,131072.0000,2048.0000,0.0265,1.9258,0.9516,1.9291,128,0
write,184094.8007,92151.0070,0.0385,131072.0000,2048.0000,0.0251,2.8447,1.5311,2.8479,128,1
read,255538.8245,127965.8198,0.0283,131072.0000,2048.0000,0.0307,2.0485,1.0509,2.0517,128,1
write,244429.9142,123071.0265,0.0271,131072.0000,2048.0000,0.0355,2.1300,1.1343,2.1449,128,2
read,259501.5022,129957.4800,0.0276,131072.0000,2048.0000,0.0348,2.0172,1.0411,2.0204,128,2
write,208023.3006,104466.0972,0.0331,131072.0000,2048.0000,0.0335,2.5094,1.4218,2.5203,128,3
read,294273.5502,147392.7942,0.0238,131072.0000,2048.0000,0.0322,1.7785,0.9707,1.7816,128,3
write,225633.8542,113743.2607,0.0307,131072.0000,2048.0000,0.0408,2.3047,1.0973,2.3236,128,4
read,276227.4854,138352.4602,0.0266,131072.0000,2048.0000,0.0350,1.8948,0.9428,1.8980,128,4
