access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,203658.6476,102028.1214,0.0220,131072.0000,2048.0000,0.0069,1.9270,0.6111,1.9308,96,0
read,356641.3941,178850.7780,0.0167,131072.0000,2048.0000,0.0063,1.0993,0.1050,1.1026,96,0
write,265535.0560,133044.0645,0.0159,131072.0000,2048.0000,0.0061,1.4778,0.4778,1.4808,96,1
read,358733.7819,179847.8184,0.0163,131072.0000,2048.0000,0.0058,1.0932,0.1119,1.0961,96,1
write,264506.0516,132546.9760,0.0166,131072.0000,2048.0000,0.0063,1.4833,0.4297,1.4866,96,2
read,349527.1852,175242.7597,0.0162,131072.0000,2048.0000,0.0061,1.1219,0.1403,1.1250,96,2
write,245438.9015,122948.9302,0.0193,131072.0000,2048.0000,0.0058,1.5991,0.4047,1.6021,96,3
read,285442.3668,143017.0722,0.0195,131072.0000,2048.0000,0.0057,1.3747,0.1437,1.3776,96,3
write,261240.1273,130885.1833,0.0174,131072.0000,2048.0000,0.0060,1.5021,0.4663,1.5052,96,4
read,361781.5018,181378.6991,0.0156,131072.0000,2048.0000,0.0058,1.0840,0.1530,1.0869,96,4
