access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,131355.0003,65812.5133,0.0294,131072.0000,2048.0000,0.0074,1.9916,0.1653,1.9957,64,0
write,148854.8556,74568.9039,0.0260,131072.0000,2048.0000,0.0065,1.7577,0.1316,1.7611,64,1
write,165806.2468,83084.5956,0.0237,131072.0000,2048.0000,0.0066,1.5776,0.0777,1.5810,64,2
write,168439.6628,84406.6668,0.0236,131072.0000,2048.0000,0.0066,1.5529,0.0691,1.5563,64,3
write,160548.7406,80443.3157,0.0238,131072.0000,2048.0000,0.0066,1.6294,0.1421,1.6328,64,4
