access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,36813.3283,36864.9218,0.0199,131072.0000,1024.0000,0.0069,2.6666,0.1242,2.6703,24,0
write,48730.5301,48819.0038,0.0152,131072.0000,1024.0000,0.0071,2.0136,0.0636,2.0173,24,1
write,48053.6851,48132.6465,0.0156,131072.0000,1024.0000,0.0064,2.0424,0.0697,2.0457,24,2
write,47655.0866,47732.4605,0.0157,131072.0000,1024.0000,0.0064,2.0595,0.0666,2.0628,24,3
write,39113.8101,39165.5207,0.0193,131072.0000,1024.0000,0.0064,2.5100,0.0930,2.5133,24,4
