access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,13791.7583,13951.4256,0.0022,131072.0000,1024.0000,0.0321,0.2936,0.1572,0.2970,32,0
write,9798.9037,9871.9732,0.0028,131072.0000,1024.0000,0.0300,0.4149,0.1429,0.4180,32,1
write,16252.4092,16453.3076,0.0019,131072.0000,1024.0000,0.0194,0.2489,0.1242,0.2520,32,2
write,17092.0162,17312.8666,0.0016,131072.0000,1024.0000,0.0139,0.2366,0.1118,0.2396,32,3
write,16262.1012,16458.1938,0.0016,131072.0000,1024.0000,0.0164,0.2489,0.1291,0.2519,32,4
