access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,71,2.3733745658e+03,2.3733343589e+03,1.2037060450e+08,1.2037264371e+08
read,72,2.3733745840e+03,2.3733342850e+03,1.2037060358e+08,1.2037264746e+08
read,73,2.3733745091e+03,2.3733354740e+03,1.2037060738e+08,1.2037258716e+08
read,74,2.3733745160e+03,2.3733342960e+03,1.2037060703e+08,1.2037264691e+08
read,75,2.3733744671e+03,2.3733355949e+03,1.2037060951e+08,1.2037258103e+08
read,76,2.3733745220e+03,2.3733342748e+03,1.2037060673e+08,1.2037264798e+08
read,77,2.3733745739e+03,2.3733342760e+03,1.2037060409e+08,1.2037264792e+08
read,78,2.3733744969e+03,2.3733358221e+03,1.2037060800e+08,1.2037256950e+08
read,79,2.3733745480e+03,2.3733342910e+03,1.2037060541e+08,1.2037264716e+08
read,80,2.3733744490e+03,2.3733360791e+03,1.2037061043e+08,1.2037255647e+08
read,81,2.3733745000e+03,2.3733359571e+03,1.2037060784e+08,1.2037256266e+08
read,82,2.3733744850e+03,2.3733357060e+03,1.2037060860e+08,1.2037257539e+08
read,83,2.3733745551e+03,2.3733342688e+03,1.2037060505e+08,1.2037264828e+08
read,84,2.3733742800e+03,2.3733342700e+03,1.2037061900e+08,1.2037264822e+08
read,85,2.3733742929e+03,2.3733343010e+03,1.2037061835e+08,1.2037264665e+08
read,86,2.3733745718e+03,2.3733343160e+03,1.2037060420e+08,1.2037264589e+08
read,87,2.3733745689e+03,2.3733342621e+03,1.2037060434e+08,1.2037264862e+08
read,88,2.3733742850e+03,2.3733342972e+03,1.2037061875e+08,1.2037264685e+08
read,89,2.3733745489e+03,2.3733343050e+03,1.2037060536e+08,1.2037264645e+08
read,90,2.3733743038e+03,2.3733342741e+03,1.2037061779e+08,1.2037264802e+08
read,91,2.3733745799e+03,2.3733342731e+03,1.2037060379e+08,1.2037264807e+08
read,92,2.3733742981e+03,2.3733342879e+03,1.2037061808e+08,1.2037264732e+08
read,93,2.3733742888e+03,2.3733342571e+03,1.2037061855e+08,1.2037264888e+08
read,94,2.3733743048e+03,2.3733343120e+03,1.2037061774e+08,1.2037264610e+08
read,95,2.3733745668e+03,2.3733343151e+03,1.2037060445e+08,1.2037264594e+08
