access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,110133.1321,7858.7464,0.0096,131072.0000,16384.0000,0.0619,0.1955,0.1197,0.2231,192,0
write,118001.7115,8082.4636,0.0094,131072.0000,16384.0000,0.0455,0.1900,0.1201,0.2083,192,1
write,121810.5035,8364.6033,0.0086,131072.0000,16384.0000,0.0561,0.1836,0.1152,0.2018,192,2
write,114895.9153,7536.7316,0.0097,131072.0000,16384.0000,0.0548,0.2038,0.1372,0.2139,192,3
write,120440.4676,8247.8258,0.0147,131072.0000,16384.0000,0.0470,0.1862,0.1141,0.2041,192,4
