access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,57142.899,0.0045,131072.0,16.0,0.0061,36.7001,0.0975,36.7032,8,2,1,32,0.87185830078125
write,57289.2922,0.0045,131072.0,16.0,0.0061,36.6064,0.0773,36.6094,8,3,1,32,0.87409169921875
write,57449.1253,0.0045,131072.0,16.0,0.0061,36.5045,0.0928,36.5076,8,4,1,32,0.87652880859375
write,176270.3269,0.0043,131072.0,16.0,0.0066,35.6921,0.1667,35.6956,24,0,1,32,2.68940615234375
write,175732.6514,0.0043,131072.0,16.0,0.0063,35.8013,0.28,35.8046,24,1,1,32,2.68122275390625
write,176003.4075,0.0043,131072.0,16.0,0.0061,35.7462,0.2755,35.7493,24,2,1,32,2.685366796875
write,176203.8971,0.0043,131072.0,16.0,0.0061,35.7055,0.1599,35.7087,24,3,1,32,2.68842412109375
write,176033.8861,0.0043,131072.0,16.0,0.0062,35.74,0.2668,35.7432,24,4,1,32,2.68582421875
write,116698.1401,0.0044,131072.0,16.0,0.0066,35.9415,0.1257,35.945,16,0,1,32,1.78049580078125
write,116637.3871,0.0044,131072.0,16.0,0.0065,35.9602,0.1805,35.9635,16,1,1,32,1.77958056640625
write,116555.5105,0.0044,131072.0,16.0,0.0063,35.9855,0.1615,35.9887,16,2,1,32,1.77833779296875
write,116857.1105,0.0044,131072.0,16.0,0.006,35.8926,0.1305,35.8956,16,3,1,32,1.7829462890625
write,116752.4017,0.0044,131072.0,16.0,0.0058,35.9248,0.1078,35.9278,16,4,1,32,1.7813517578125
write,19528.9172,0.0128,131072.0,1024.0,0.0063,1.6779,0.0547,1.6813,8,0,1,32,19.0327328125
write,19924.9061,0.0125,131072.0,1024.0,0.0062,1.6446,0.046,1.6477,8,1,1,32,19.4205859375
write,19939.8425,0.0127,131072.0,1024.0,0.0058,1.6433,0.0204,1.6463,8,2,1,32,19.43699365234375
write,19425.8577,0.013,131072.0,1024.0,0.0058,1.6868,0.0222,1.6898,8,3,1,32,18.936604296875
write,20423.4015,0.0125,131072.0,1024.0,0.0061,1.6044,0.017,1.6076,8,4,1,32,19.9054494140625
write,110469.9444,0.0138,131072.0,1024.0,0.0072,1.7797,0.0478,1.7837,48,0,1,32,107.6443841796875
write,111652.6902,0.0137,131072.0,1024.0,0.0068,1.7609,0.0434,1.7645,48,1,1,32,108.81455341796875
write,111673.042,0.0137,131072.0,1024.0,0.0071,1.7606,0.0511,1.7642,48,2,1,32,108.82903798828124
write,107511.2733,0.0141,131072.0,1024.0,0.0065,1.8287,0.0746,1.8321,48,3,1,32,104.79925087890625
write,91955.958,0.0165,131072.0,1024.0,0.0065,2.1381,0.0425,2.1415,48,4,1,32,89.65749150390624
write,79692.2995,0.0128,131072.0,1024.0,0.0067,1.6447,0.0325,1.6484,32,0,1,32,77.65330986328125
write,83384.3944,0.0121,131072.0,1024.0,0.0059,1.5719,0.0286,1.5749,32,1,1,32,81.27468623046875
write,83167.4008,0.0122,131072.0,1024.0,0.006,1.576,0.0304,1.5791,32,2,1,32,81.05877529296875
write,82959.9454,0.0122,131072.0,1024.0,0.0062,1.5799,0.0351,1.5832,32,3,1,32,80.84891474609375
write,79359.3654,0.0127,131072.0,1024.0,0.0058,1.6516,0.046,1.6546,32,4,1,32,77.35919970703125
write,126515.3639,0.0158,131072.0,1024.0,0.0077,2.072,0.0784,2.0761,64,0,1,32,123.30688720703125
write,130188.4187,0.0155,131072.0,1024.0,0.0074,2.0136,0.067,2.0173,64,1,1,32,126.90417685546875
write,129045.6017,0.0155,131072.0,1024.0,0.0071,2.0314,0.0777,2.035,64,2,1,32,125.79586767578125
write,121548.5472,0.0165,131072.0,1024.0,0.0075,2.1567,0.0632,2.1606,64,3,1,32,118.48631484375
write,113578.4261,0.0178,131072.0,1024.0,0.0075,2.308,0.0472,2.3119,64,4,1,32,110.7299533203125
write,119065.5563,0.0147,131072.0,1024.0,0.0071,1.9265,0.0666,1.9303,56,0,1,32,116.0457580078125
write,120009.1951,0.0146,131072.0,1024.0,0.0071,1.9113,0.0578,1.9149,56,1,1,32,116.97990361328125
write,121800.0837,0.0146,131072.0,1024.0,0.007,1.8832,0.055,1.8869,56,2,1,32,118.71631171875
write,111007.6511,0.0158,131072.0,1024.0,0.0071,2.0663,0.0641,2.07,56,3,1,32,108.215069140625
write,112860.4074,0.0157,131072.0,1024.0,0.0071,2.0324,0.0572,2.036,56,4,1,32,110.01824140625
write,85974.7189,0.0167,131072.0,1024.0,0.009,3.8114,1.7593,3.8161,80,0,1,32,83.85559326171875
write,74205.7369,0.0177,131072.0,1024.0,0.0086,4.4158,2.1725,4.4202,80,1,1,32,72.3954708984375
write,76539.0378,0.0171,131072.0,1024.0,0.0079,4.2812,2.1182,4.2853,80,2,1,32,74.67423388671875
write,76781.2594,0.0174,131072.0,1024.0,0.0082,4.2677,2.0632,4.2719,80,3,1,32,74.907632421875
write,75712.8701,0.0174,131072.0,1024.0,0.0084,4.3279,2.1323,4.3322,80,4,1,32,73.8652318359375
write,70217.1609,0.0165,131072.0,1024.0,0.0093,5.1333,3.0242,5.1382,88,0,1,32,68.50703974609375
write,82934.2122,0.0187,131072.0,1024.0,0.0089,4.3462,1.968,4.3506,88,1,1,32,80.9076177734375
write,66359.6463,0.0175,131072.0,1024.0,0.0092,5.4317,3.2937,5.4363,88,2,1,32,64.75015986328125
write,78934.0856,0.0161,131072.0,1024.0,0.0089,4.5664,2.5041,4.5708,88,3,1,32,77.009965234375
write,82238.9733,0.0167,131072.0,1024.0,0.0094,4.3829,2.2587,4.3876,88,4,1,32,80.22687744140624
write,61367.4698,0.0124,131072.0,1024.0,0.007,1.6019,0.0537,1.6057,24,0,1,32,59.78585419921875
write,61433.6689,0.0124,131072.0,1024.0,0.0061,1.6002,0.0226,1.6034,24,1,1,32,59.874008203125
write,62714.5197,0.0122,131072.0,1024.0,0.0061,1.5675,0.0317,1.5706,24,2,1,32,61.12165185546875
write,63494.1124,0.012,131072.0,1024.0,0.0062,1.5482,0.022,1.5514,24,3,1,32,61.87863427734375
write,62540.1171,0.0121,131072.0,1024.0,0.0057,1.5719,0.0277,1.5748,24,4,1,32,60.95957685546875
write,75327.6216,0.0168,131072.0,1024.0,0.009,3.9151,1.8611,3.9197,72,0,1,32,73.47474443359376
write,68960.6782,0.0183,131072.0,1024.0,0.0083,4.2765,2.0322,4.2807,72,1,1,32,67.27862294921874
write,76002.781,0.0172,131072.0,1024.0,0.0079,3.8803,1.7661,3.8844,72,2,1,32,74.1433001953125
write,74305.2992,0.0159,131072.0,1024.0,0.0082,3.9689,1.9365,3.9732,72,3,1,32,72.48633095703126
write,72173.9843,0.0169,131072.0,1024.0,0.0079,4.0861,1.936,4.0902,72,4,1,32,70.41263662109375
write,41467.3012,0.0123,131072.0,1024.0,0.0064,1.5804,0.0161,1.5839,16,0,1,32,40.406032421875
write,41604.0863,0.0122,131072.0,1024.0,0.0062,1.5752,0.0162,1.5784,16,1,1,32,40.54659619140625
write,42261.8742,0.012,131072.0,1024.0,0.006,1.5507,0.0108,1.5538,16,2,1,32,41.1881259765625
write,41589.1615,0.0123,131072.0,1024.0,0.0057,1.5758,0.0211,1.5788,16,3,1,32,40.53791357421875
write,42246.0453,0.012,131072.0,1024.0,0.0057,1.5513,0.0142,1.5542,16,4,1,32,41.17771357421875
write,95229.0159,0.0132,131072.0,1024.0,0.0068,1.7205,0.0567,1.7242,40,0,1,32,92.79574775390626
write,99289.0875,0.0129,131072.0,1024.0,0.0069,1.6501,0.0389,1.6533,40,1,1,32,96.774271875
write,99176.7012,0.0125,131072.0,1024.0,0.0063,1.652,0.0496,1.6552,40,2,1,32,96.662423828125
write,98862.8054,0.0127,131072.0,1024.0,0.0059,1.6572,0.0414,1.6603,40,3,1,32,96.36736416015626
write,89942.8033,0.0139,131072.0,1024.0,0.0062,1.8216,0.0654,1.8248,40,4,1,32,87.68174609375
write,82912.7426,0.0169,131072.0,1024.0,0.0094,4.7425,2.6255,4.7475,96,0,1,32,80.88518486328125
