access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,56874.0069,0.0045,131072.0,16.0,0.0061,36.8736,0.0882,36.8767,8,2,1,32,0.86775556640625
write,56957.6245,0.0045,131072.0,16.0,0.0057,36.8195,0.0597,36.8224,8,3,1,32,0.8690357421875
write,56975.3197,0.0045,131072.0,16.0,0.0056,36.8081,0.0721,36.811,8,4,1,32,0.86930615234375
write,173743.9968,0.0044,131072.0,16.0,0.0063,36.2111,0.2026,36.2145,24,0,1,32,2.6508751953125
write,174469.6207,0.0044,131072.0,16.0,0.0064,36.0605,0.2376,36.0637,24,1,1,32,2.6619568359375
write,174044.2984,0.0044,131072.0,16.0,0.0065,36.1486,0.191,36.1519,24,2,1,32,2.65546513671875
write,174410.3241,0.0044,131072.0,16.0,0.0062,36.0727,0.1897,36.0758,24,3,1,32,2.6610603515625
write,174263.7064,0.0044,131072.0,16.0,0.0059,36.1031,0.198,36.1061,24,4,1,32,2.6588298828125
write,115063.2527,0.0044,131072.0,16.0,0.0064,36.4522,0.1602,36.4556,16,0,1,32,1.755559765625
write,115464.8125,0.0044,131072.0,16.0,0.0063,36.3254,0.1994,36.3286,16,1,1,32,1.7616958984375
write,115300.6888,0.0044,131072.0,16.0,0.0059,36.3771,0.1461,36.3801,16,2,1,32,1.759204296875
write,115584.6503,0.0044,131072.0,16.0,0.0063,36.2877,0.1272,36.2909,16,3,1,32,1.76352568359375
write,115447.0658,0.0044,131072.0,16.0,0.0056,36.331,0.1662,36.3339,16,4,1,32,1.7614416015625
write,19619.6065,0.013,131072.0,1024.0,0.0063,1.6702,0.0279,1.6735,8,0,1,32,19.1213283203125
write,19702.953,0.0128,131072.0,1024.0,0.006,1.6631,0.0264,1.6662,8,1,1,32,19.20538935546875
write,19179.7675,0.0133,131072.0,1024.0,0.0057,1.7085,0.0094,1.7114,8,2,1,32,18.6977716796875
