access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,147383.5804,0.0084,131072.0,16.0,0.0131,71.1461,35.9014,71.1495,40,0,1,32,2.24878505859375
write,146706.0408,0.0084,131072.0,16.0,0.0173,71.4746,36.1086,71.4777,40,1,1,32,2.238458984375
write,146478.5006,0.0086,131072.0,16.0,0.0188,71.5857,36.1617,71.589,40,2,1,32,2.234981640625
write,146313.4256,0.0084,131072.0,16.0,0.0187,71.6664,36.295,71.6697,40,3,1,32,2.23246220703125
write,146215.4971,0.0084,131072.0,16.0,0.0226,71.7144,36.3455,71.7176,40,4,1,32,2.23097353515625
write,115717.4471,0.0131,131072.0,16.0,0.027,108.7382,39.6979,108.7416,48,0,1,32,1.7656533203125
write,115112.6166,0.0131,131072.0,16.0,0.023,109.3096,40.2892,109.3127,48,1,1,32,1.756429296875
write,114940.3758,0.0132,131072.0,16.0,0.0214,109.4734,40.3448,109.4767,48,2,1,32,1.7537982421875
write,114826.7921,0.013,131072.0,16.0,0.027,109.5817,40.3515,109.5847,48,3,1,32,1.75206923828125
write,114780.7581,0.0126,131072.0,16.0,0.0289,109.6256,40.2755,109.6287,48,4,1,32,1.751366015625
write,136272.0272,0.0128,131072.0,16.0,0.0263,107.7262,38.4879,107.7296,56,0,1,32,2.0792802734375
write,136069.7558,0.0127,131072.0,16.0,0.0274,107.8863,38.7118,107.8894,56,1,1,32,2.076199609375
write,135793.9094,0.0131,131072.0,16.0,0.0216,108.1055,38.818,108.1087,56,2,1,32,2.07198857421875
write,135884.2835,0.0128,131072.0,16.0,0.0251,108.0336,38.7465,108.0367,56,3,1,32,2.07336943359375
write,135718.6526,0.0126,131072.0,16.0,0.0281,108.1654,39.5396,108.1687,56,4,1,32,2.070839453125
write,117708.6427,0.0086,131072.0,16.0,0.0224,71.2659,35.9187,71.2693,32,0,1,32,1.7960037109375
write,117235.8755,0.0086,131072.0,16.0,0.0198,71.5533,36.3118,71.5565,32,1,1,32,1.78879521484375
write,117040.5857,0.0087,131072.0,16.0,0.0202,71.6726,36.3806,71.6758,32,2,1,32,1.78581865234375
write,116208.7517,0.0085,131072.0,16.0,0.0205,72.1857,36.7097,72.1888,32,3,1,32,1.77312783203125
write,116089.6106,0.0084,131072.0,16.0,0.0219,72.2598,36.8437,72.2628,32,4,1,32,1.7713115234375
write,1218.986,0.2099,131072.0,16.0,0.0064,1720.407,1.0504,1720.4105,8,0,1,32,0.0186001953125
write,44789.3101,0.0057,131072.0,16.0,0.006,46.8226,0.1804,46.8256,8,1,1,32,0.6833861328125
write,47141.8964,0.0054,131072.0,16.0,0.0059,44.4859,0.1849,44.4889,8,2,1,32,0.71928046875
write,56785.8306,0.0045,131072.0,16.0,0.0059,36.9309,0.1244,36.9339,8,3,1,32,0.86641201171875
write,57173.4176,0.0045,131072.0,16.0,0.0059,36.6805,0.0743,36.6836,8,4,1,32,0.87232490234375
write,86562.9825,0.0089,131072.0,16.0,0.0188,72.6807,37.4724,72.6843,24,0,1,32,1.3207796875
write,87199.1659,0.0088,131072.0,16.0,0.0173,72.1504,36.836,72.1536,24,1,1,32,1.33049541015625
write,84806.5478,0.0091,131072.0,16.0,0.0162,74.186,38.8449,74.1892,24,2,1,32,1.29398916015625
write,86625.2716,0.0089,131072.0,16.0,0.0204,72.6284,37.1943,72.6316,24,3,1,32,1.3217392578125
write,86609.7761,0.0088,131072.0,16.0,0.0233,72.6414,37.0897,72.6447,24,4,1,32,1.321500390625
write,114634.4792,0.0045,131072.0,16.0,0.0066,36.5885,0.1535,36.5921,16,0,1,32,1.74901220703125
write,117379.9482,0.0043,131072.0,16.0,0.0061,35.7327,0.1741,35.7358,16,1,1,32,1.79092041015625
write,117707.7394,0.0043,131072.0,16.0,0.0061,35.6332,0.1211,35.6363,16,2,1,32,1.7959224609375
write,117223.521,0.0044,131072.0,16.0,0.006,35.7804,0.1413,35.7835,16,3,1,32,1.78853486328125
write,117630.3696,0.0044,131072.0,16.0,0.0061,35.6566,0.1046,35.6598,16,4,1,32,1.79473876953125
write,17643.2697,0.0138,131072.0,1024.0,0.0061,1.8573,0.0902,1.8606,8,0,1,32,17.1991234375
