access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,3686622.349,0.0044,131072.0,16.0,0.0062,36.4067,0.3769,36.4099,512,1,16,32,56.248490625
write,3650562.6148,0.0044,131072.0,16.0,0.0063,36.7663,0.3898,36.7695,512,2,16,32,55.69827626953125
write,3769204.3029,0.0043,131072.0,16.0,0.0064,35.609,0.5155,35.6123,512,3,16,32,57.50821865234375
write,3744653.0824,0.0043,131072.0,16.0,0.006,35.8425,0.7426,35.8456,512,4,16,32,57.133976171875
write,1858706.497,0.0044,131072.0,16.0,0.0069,36.1051,0.4117,36.1089,256,0,16,32,28.35862177734375
write,1912195.9279,0.0043,131072.0,16.0,0.006,35.0952,0.3935,35.0982,256,1,16,32,29.17527275390625
write,1918474.5197,0.0042,131072.0,16.0,0.006,34.9803,0.3577,34.9833,256,2,16,32,29.27108662109375
write,1920508.3185,0.0042,131072.0,16.0,0.0062,34.9433,0.4251,34.9464,256,3,16,32,29.30199931640625
write,1926261.7083,0.0042,131072.0,16.0,0.0059,34.8389,0.3277,34.8419,256,4,16,32,29.38985908203125
write,2849976.9836,0.0043,131072.0,16.0,0.0067,35.3207,0.4565,35.3245,384,0,16,32,43.482526953125
write,2874453.9188,0.0042,131072.0,16.0,0.0075,35.02,0.4258,35.0233,384,1,16,32,43.85657099609375
write,2875595.4498,0.0043,131072.0,16.0,0.0064,35.0061,0.3632,35.0094,384,2,16,32,43.8739833984375
write,2876136.8235,0.0042,131072.0,16.0,0.0062,34.9995,0.3709,35.0027,384,3,16,32,43.8823328125
write,2881317.0854,0.0042,131072.0,16.0,0.0062,34.9366,0.355,34.9398,384,4,16,32,43.96138056640625
write,642396.2263,0.0669,131072.0,1024.0,0.0864,8.9776,2.8932,8.9866,1408,0,16,32,626.7080096679688
write,630641.9833,0.0693,131072.0,1024.0,0.0815,9.1449,2.7955,9.1611,1408,1,16,32,614.7703811523437
write,598999.1531,0.0707,131072.0,1024.0,0.0932,9.628,3.4224,9.6315,1408,2,16,32,584.7493516601562
write,637047.2075,0.068,131072.0,1024.0,0.0687,9.053,3.2156,9.0785,1408,3,16,32,620.3694704101563
write,634847.4305,0.0663,131072.0,1024.0,0.1077,9.0843,3.0918,9.1103,1408,4,16,32,618.2002234375
write,724823.2358,0.0468,131072.0,1024.0,0.0489,6.51,3.8624,6.5151,1152,0,16,32,707.2758955078125
write,606881.8558,0.0589,131072.0,1024.0,0.0624,7.7751,4.8855,7.7946,1152,1,16,32,591.178507421875
write,728638.2432,0.0472,131072.0,1024.0,0.0484,6.4759,3.5831,6.4839,1152,2,16,32,710.6882118164062
write,409441.5571,0.0842,131072.0,1024.0,0.0494,11.5245,8.1221,11.5344,1152,3,16,32,399.499790625
write,277785.6982,0.128,131072.0,1024.0,0.0618,16.9864,3.8416,17.0066,1152,4,16,32,270.9542201171875
write,567360.2946,0.0186,131072.0,1024.0,0.0076,2.7722,0.471,2.7767,384,0,16,32,553.1652708984375
write,574337.057,0.0209,131072.0,1024.0,0.0065,2.7386,0.1228,2.742,384,1,16,32,560.1687017578125
write,580940.5578,0.0206,131072.0,1024.0,0.0059,2.7074,0.1862,2.7106,384,2,16,32,566.6665209960937
write,573229.5646,0.0208,131072.0,1024.0,0.0059,2.7439,0.2187,2.747,384,3,16,32,559.1552524414062
write,553555.186,0.0217,131072.0,1024.0,0.0061,2.8414,0.1366,2.8446,384,4,16,32,539.9708395507813
write,561099.621,0.0279,131072.0,1024.0,0.0077,4.672,1.3727,4.676,640,0,16,32,547.4816259765626
write,823562.5748,0.0242,131072.0,1024.0,0.0065,3.183,0.2635,3.1864,640,1,16,32,803.41831484375
write,750178.2313,0.0265,131072.0,1024.0,0.0063,3.4944,0.2611,3.4977,640,2,16,32,731.9005155273437
write,686516.8749,0.0257,131072.0,1024.0,0.0061,3.8185,0.7428,3.8217,640,3,16,32,669.8528452148438
write,721424.4171,0.027,131072.0,1024.0,0.0061,3.6337,0.6192,3.6369,640,4,16,32,703.8892176757812
write,431863.5867,0.0163,131072.0,1024.0,0.0068,2.428,0.3762,2.4319,256,0,16,32,421.07204638671874
write,458004.4662,0.0164,131072.0,1024.0,0.0064,2.2894,0.2674,2.2928,256,1,16,32,446.62019248046875
write,468093.0096,0.0166,131072.0,1024.0,0.0061,2.2401,0.1579,2.2433,256,2,16,32,456.4632549804688
write,412384.079,0.0177,131072.0,1024.0,0.0061,2.5427,0.3107,2.546,256,3,16,32,402.20457509765623
write,399271.9593,0.02,131072.0,1024.0,0.0061,2.6262,0.1233,2.6294,256,4,16,32,389.43878369140623
write,451443.5891,0.091,131072.0,1024.0,0.1071,13.9363,6.8842,13.9484,1536,0,16,32,440.48019130859376
write,423280.6154,0.1091,131072.0,1024.0,0.1007,14.8636,4.641,14.8669,1536,1,16,32,413.26838935546874
write,321709.2772,0.1375,131072.0,1024.0,0.1004,19.5563,10.4419,19.5885,1536,2,16,32,313.65269716796877
write,150381.4328,0.3208,131072.0,1024.0,0.1105,41.8367,13.9564,41.8726,1536,3,16,32,146.73086005859375
write,144438.5446,0.3191,131072.0,1024.0,0.0987,43.558,14.0552,43.5813,1536,4,16,32,140.9779095703125
write,252587.1248,0.0138,131072.0,1024.0,0.0067,2.0757,0.3331,2.0794,128,0,16,32,246.2286482421875
write,296211.7432,0.013,131072.0,1024.0,0.0061,1.77,0.1073,1.7731,128,1,16,32,288.75814599609373
write,312244.388,0.0127,131072.0,1024.0,0.0061,1.6791,0.0686,1.6822,128,2,16,32,304.3549734375
write,248623.1191,0.0156,131072.0,1024.0,0.0062,2.1088,0.1687,2.112,128,3,16,32,242.42755517578124
write,258293.3434,0.0155,131072.0,1024.0,0.0059,2.0298,0.0953,2.0328,128,4,16,32,251.8651236328125
write,531028.0157,0.0558,131072.0,1024.0,0.0535,7.8985,3.7522,7.9119,1024,0,16,32,517.7037399414063
write,620803.6487,0.0485,131072.0,1024.0,0.0503,6.7562,3.4028,6.7665,1024,1,16,32,605.3309052734375
write,547211.5878,0.0512,131072.0,1024.0,0.0835,7.6649,4.6495,7.7131,1024,2,16,32,531.0468547851563
write,249558.0264,0.1236,131072.0,1024.0,0.045,16.8069,5.0473,16.8238,1024,3,16,32,243.46525263671876
write,288187.2261,0.1098,131072.0,1024.0,0.0511,14.5541,8.8667,14.5745,1024,4,16,32,281.03910703125
write,218152.5079,0.0498,131072.0,1024.0,0.0069,9.6132,5.1168,9.6171,512,0,16,32,212.9550068359375
write,297603.2441,0.0434,131072.0,1024.0,0.006,7.0468,2.9214,7.0499,512,1,16,32,290.4990887695312
write,266469.1886,0.0532,131072.0,1024.0,0.0063,7.8701,1.7719,7.8735,512,2,16,32,260.1143255859375
write,563623.4158,0.0267,131072.0,1024.0,0.0062,3.7208,0.6131,3.7242,512,3,16,32,549.9201388671875
