access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,234078.6681,234486.9695,0.0166,131072.0000,1024.0000,0.0071,2.2359,0.1481,2.2398,128,0
write,277342.5112,277872.5393,0.0143,131072.0000,1024.0000,0.0069,1.8868,0.0713,1.8904,128,1
write,278870.0715,279359.5322,0.0143,131072.0000,1024.0000,0.0064,1.8767,0.0571,1.8800,128,2
write,185780.0483,186000.1679,0.0217,131072.0000,1024.0000,0.0064,2.8188,0.0912,2.8221,128,3
write,229044.5470,229366.8026,0.0172,131072.0000,1024.0000,0.0062,2.2858,0.1001,2.2890,128,4
