access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,624.2424,312.3326,0.0629,131072.0000,2048.0000,0.0063,4.9178,1.4412,4.9212,24,0
write,45096.2547,23629.2750,0.0006,131072.0000,2048.0000,0.0061,0.0650,0.0282,0.0681,24,1
write,46172.0181,24151.7342,0.0005,131072.0000,2048.0000,0.0057,0.0636,0.0291,0.0665,24,2
write,48784.4566,25637.1061,0.0005,131072.0000,2048.0000,0.0059,0.0599,0.0257,0.0630,24,3
write,47917.6112,25136.2692,0.0005,131072.0000,2048.0000,0.0059,0.0611,0.0276,0.0641,24,4
