access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,678.9881,339.7481,0.0629,131072.0000,2048.0000,0.0190,4.5210,1.0632,4.5244,24,0
write,1281.8496,641.7420,0.0374,131072.0000,2048.0000,0.0218,2.3935,0.3283,2.3965,24,1
write,29331.4649,15124.3669,0.0010,131072.0000,2048.0000,0.0180,0.1016,0.0393,0.1047,24,2
write,31977.0634,16499.6439,0.0009,131072.0000,2048.0000,0.0147,0.0931,0.0359,0.0961,24,3
write,32190.1240,16633.1057,0.0010,131072.0000,2048.0000,0.0151,0.0923,0.0312,0.0954,24,4
