access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,1139175.1103,142583.5666,0.1926,131072.0000,8192.0000,0.0503,4.1367,2.1571,4.1421,1152,0
write,1064875.2012,133713.1625,0.2412,131072.0000,8192.0000,0.0601,4.4111,1.7030,4.4311,1152,1
write,1315827.6213,164842.1582,0.1917,131072.0000,8192.0000,0.0507,3.5781,1.4702,3.5860,1152,2
write,1437797.7118,180596.6060,0.1911,131072.0000,8192.0000,0.0535,3.2660,1.1700,3.2818,1152,3
write,1206355.5203,151724.8978,0.1916,131072.0000,8192.0000,0.0626,3.8875,1.6861,3.9114,1152,4
