access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,692307.7631,86691.0410,0.1112,131072.0000,8192.0000,0.0098,3.7799,2.1174,3.7865,640,0
write,1086331.1717,135979.1090,0.1441,131072.0000,8192.0000,0.0066,2.4098,0.3796,2.4131,640,1
write,1365458.5822,170975.8492,0.1033,131072.0000,8192.0000,0.0064,1.9165,0.3511,1.9198,640,2
write,1112818.0382,139297.2202,0.1273,131072.0000,8192.0000,0.0064,2.3524,0.4241,2.3557,640,3
write,1024903.5676,128273.2763,0.1387,131072.0000,8192.0000,0.0062,2.5545,0.8569,2.5577,640,4
