access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,965849.0990,121337.2367,0.1860,131072.0000,8192.0000,0.0616,4.3209,2.3152,4.3426,1024,0
write,682906.9653,85821.4027,0.3191,131072.0000,8192.0000,0.0775,6.1091,4.1019,6.1418,1024,1
write,486582.5303,60846.0897,0.4558,131072.0000,8192.0000,0.0510,8.6166,5.0229,8.6199,1024,2
write,1188062.9332,148688.4623,0.2092,131072.0000,8192.0000,0.0453,3.5261,1.5160,3.5304,1024,3
write,1014166.8271,127432.1821,0.1887,131072.0000,8192.0000,0.0712,4.1143,2.0879,4.1357,1024,4
