access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,451051.7159,451443.5891,0.0910,131072.0000,1024.0000,0.1071,13.9363,6.8842,13.9484,1536,0
write,423186.8307,423280.6154,0.1091,131072.0000,1024.0000,0.1007,14.8636,4.6410,14.8669,1536,1
write,321180.3619,321709.2772,0.1375,131072.0000,1024.0000,0.1004,19.5563,10.4419,19.5885,1536,2
write,150252.4007,150381.4328,0.3208,131072.0000,1024.0000,0.1105,41.8367,13.9564,41.8726,1536,3
write,144361.3794,144438.5446,0.3191,131072.0000,1024.0000,0.0987,43.5580,14.0552,43.5813,1536,4
