access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,130914.5643,130953.6720,0.0629,131072.0000,1024.0000,0.0581,12.0108,4.3576,12.0144,384,0
write,133621.6908,133963.9237,0.0552,131072.0000,1024.0000,0.0853,11.7410,4.7993,11.7710,384,1
write,134583.4598,135084.3433,0.0604,131072.0000,1024.0000,0.1184,11.6436,4.1559,11.6869,384,2
write,134516.1995,134770.8638,0.0583,131072.0000,1024.0000,0.0827,11.6707,4.4552,11.6927,384,3
write,135689.7459,135882.3588,0.0549,131072.0000,1024.0000,0.0829,11.5752,4.6910,11.5916,384,4
