access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,36056.7619,18058.3982,0.0153,131072.0000,2048.0000,0.0558,2.0414,1.1276,2.0448,96,0
write,22415.7289,11218.9903,0.0302,131072.0000,2048.0000,0.0348,3.2859,1.4846,3.2891,96,1
write,34439.1896,17245.9211,0.0159,131072.0000,2048.0000,0.1140,2.1375,1.2188,2.1408,96,2
write,27551.0356,13791.2502,0.0229,131072.0000,2048.0000,0.0387,2.6730,1.3479,2.6761,96,3
write,31724.1197,15883.9245,0.0163,131072.0000,2048.0000,0.9751,2.3208,1.4048,2.3240,96,4
