access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,3564.1221,228118.3269,0.0135,131072.0000,16.0000,0.0392,110.3192,39.2594,110.3262,96,0
write,3637.6023,232813.4442,0.0132,131072.0000,16.0000,0.0417,108.0944,38.5027,108.0976,96,1
write,3637.3577,232797.4599,0.0132,131072.0000,16.0000,0.0463,108.1018,37.9947,108.1048,96,2
write,3652.0933,233740.8886,0.0131,131072.0000,16.0000,0.0394,107.6655,37.4387,107.6687,96,3
write,3660.9361,234306.6713,0.0131,131072.0000,16.0000,0.0373,107.4055,37.4133,107.4086,96,4
